%TITLE%
 OUN   260401/0000 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
   62.90,  19153.70,    -66.30,    -89.30,  -9999.00,  -9999.00
   62.00,  19240.67,    -66.42,    -89.42,    285.00,     27.99
   59.00,  19539.99,    -66.83,    -89.83,    280.00,     14.01
   58.50,  19591.35,    -66.90,    -89.90,  -9999.00,  -9999.00
   57.40,  19706.13,    -65.50,    -89.50,  -9999.00,  -9999.00
   57.00,  19748.37,    -65.84,    -89.65,    320.00,     13.00
   55.30,  19931.28,    -67.30,    -90.30,  -9999.00,  -9999.00
   55.00,  19964.11,    -67.11,    -90.25,    315.00,     10.00
   53.10,  20176.27,    -65.90,    -89.90,  -9999.00,  -9999.00
   53.00,  20187.67,    -65.92,    -89.92,    250.00,      6.00
   50.50,  20479.83,    -66.50,    -90.50,  -9999.00,  -9999.00
   50.00,  20540.00,    -65.90,    -90.90,    265.00,      8.99
   49.40,  20613.62,    -63.70,    -89.70,  -9999.00,  -9999.00
   48.00,  20789.35,    -64.75,    -89.87,    305.00,     13.00
   47.80,  20814.87,    -64.90,    -89.90,  -9999.00,  -9999.00
   46.00,  21049.95,    -63.01,    -88.95,    285.00,     17.00
   45.90,  21063.27,    -62.90,    -88.90,  -9999.00,  -9999.00
   43.60,  21378.41,    -64.50,    -89.50,  -9999.00,  -9999.00
   41.80,  21637.11,    -62.50,    -89.50,  -9999.00,  -9999.00
   41.00,  21755.85,    -62.94,    -89.63,    265.00,     36.00
   39.30,  22016.06,    -63.90,    -89.90,  -9999.00,  -9999.00
   39.00,  22063.20,    -63.82,    -89.86,    295.00,     17.00
   35.00,  22728.77,    -62.64,    -89.34,    270.00,     31.99
   34.00,  22907.06,    -62.33,    -89.20,    285.00,     39.01
   33.30,  23035.02,    -62.10,    -89.10,  -9999.00,  -9999.00
   32.60,  23166.00,    -62.90,    -89.90,  -9999.00,  -9999.00
   31.90,  23300.01,    -61.50,    -89.50,  -9999.00,  -9999.00
   31.00,  23476.96,    -62.15,    -89.34,    290.00,     24.01
   30.80,  23516.97,    -62.30,    -89.30,  -9999.00,  -9999.00
   30.00,  23680.00,    -60.70,    -89.70,    275.00,     25.00
   29.60,  23763.53,    -59.70,    -88.70,  -9999.00,  -9999.00
   29.00,  23891.31,    -59.63,    -88.63,    280.00,     33.00
   27.80,  24155.02,    -59.50,    -88.50,  -9999.00,  -9999.00
   27.00,  24339.10,    -55.30,    -87.30,    250.00,     35.00
   26.00,  24580.67,    -53.72,    -85.72,    275.00,     40.00
   25.50,  24704.96,    -52.90,    -84.90,  -9999.00,  -9999.00
   25.00,  24831.71,    -53.10,    -85.01,    275.00,     27.00
   24.00,  25093.00,    -53.50,    -85.25,    270.00,     33.99
   22.00,  25649.94,    -54.36,    -85.75,    290.00,     29.99
   20.00,  26260.00,    -55.30,    -86.30,    280.00,     27.99
   19.00,  26586.94,    -55.96,    -86.96,    280.00,     29.99
   18.80,  26654.39,    -56.10,    -87.10,  -9999.00,  -9999.00
   18.00,  26932.71,    -55.60,    -86.79,    250.00,     25.00
   15.00,  28099.63,    -53.50,    -85.50,  -9999.00,  -9999.00
   14.40,  28362.11,    -54.10,    -86.10,  -9999.00,  -9999.00
   14.00,  28544.23,    -53.04,    -85.75,    255.00,     52.99
   13.30,  28875.83,    -51.10,    -85.10,  -9999.00,  -9999.00
   13.00,  29024.06,    -51.70,    -84.95,    275.00,     47.01
   12.90,  29074.23,    -51.90,    -84.90,  -9999.00,  -9999.00
   12.00,  29543.47,    -51.81,    -84.81,    265.00,     56.99
   11.00,  30108.03,    -51.71,    -84.71,    265.00,     61.00
   10.90,  30167.28,    -51.70,    -84.70,  -9999.00,  -9999.00
   10.40,  30473.33,    -49.90,    -84.90,  -9999.00,  -9999.00
   10.20,  30600.23,    -50.50,    -84.50,  -9999.00,  -9999.00
   10.00,  30730.00,    -48.70,    -83.70,    270.00,     54.99
    9.80,  30862.97,    -47.90,    -83.90,  -9999.00,  -9999.00
