lat,lon,rank_abi,rank_aoi,rqi
35.20756,-101.2141,3,3,0.8
35.20761,-101.16519,4,4,0.8
35.20771,-101.23171,5,5,0.8
35.24074,-100.9745,1,1,0.8
35.22643,-100.97522,2,2,0.8
35.2559,-100.97353,3,3,0.8
35.21719,-100.9751,4,4,0.8
35.27044,-100.97355,5,5,0.8
35.18385,-100.86713,1,1,0.8
35.18263,-100.85342,2,2,0.8
35.18052,-100.84125,3,3,0.8
35.21247,-100.77628,4,4,0.2
35.18077,-100.8778,5,5,0.2
35.2146,-100.74338,1,1,1.0
35.2163,-100.68842,2,2,0.8
35.21411,-100.77382,4,3,0.8
35.21248,-100.72537,3,4,0.8
35.22674,-100.64242,5,5,0.2
35.22681,-100.53859,1,1,0.8
35.28471,-100.60951,3,2,0.8
35.22709,-100.49613,2,3,0.8
35.2268,-100.56355,4,4,0.2
35.22718,-100.52697,5,5,0.2
35.22711,-100.43206,1,1,0.8
35.22685,-100.40399,2,2,0.2
35.22685,-100.41863,3,3,0.2
35.22673,-100.17313,2,1,0.8
35.27831,-100.23624,1,2,0.8
35.31376,-100.23618,5,3,0.8
35.2909,-100.2362,3,4,0.8
35.22667,-100.1599,4,5,0.8
35.22693,-100.04413,1,1,0.2
35.22691,-100.05761,2,2,0.2
35.22691,-100.07175,3,3,0.2
35.32071,-99.95832,5,4,0.2
35.22695,-100.03199,4,5,0.2
35.26256,-99.87654,1,1,1.0
35.25243,-99.85893,2,2,0.8
35.2772,-99.85891,3,3,0.8
35.27718,-99.84126,4,4,0.8
35.2772,-99.80584,5,5,0.8
35.30586,-99.73532,2,1,1.0
35.30589,-99.71763,1,2,1.0
35.24451,-99.75293,4,3,1.0
35.34933,-99.71748,5,4,1.0
35.30581,-99.69984,3,5,0.8
35.29138,-99.55854,1,1,1.0
35.27678,-99.55863,3,2,0.8
35.29134,-99.47036,2,3,1.0
35.26237,-99.55434,4,4,0.8
35.24788,-99.50573,5,5,0.8
35.29134,-99.32573,1,1,1.0
35.34934,-99.32923,3,2,1.0
35.33482,-99.32927,2,3,1.0
35.30586,-99.32924,5,4,0.8
35.24794,-99.3647,4,5,0.8
35.29141,-99.20569,1,1,1.0
35.33494,-99.24094,5,2,1.0
35.3349,-99.22343,3,3,1.0
35.29137,-99.18802,2,4,1.0
35.30593,-99.20566,4,5,0.8
35.29128,-99.08186,1,1,1.0
35.30597,-99.06396,2,2,1.0
35.26227,-99.08191,3,3,1.0
35.30581,-99.08718,4,4,0.8
35.27676,-99.08197,5,5,0.8
35.2913,-98.88798,1,1,1.0
35.29126,-98.90567,2,2,1.0
35.27675,-98.88793,3,3,1.0
35.29128,-98.92335,4,4,1.0
35.32038,-98.83488,5,5,0.8
35.31983,-98.72928,1,1,1.0
35.34878,-98.72927,3,2,1.0
35.26212,-98.71189,4,3,1.0
35.29089,-98.71178,2,4,1.0
35.29082,-98.69412,5,5,1.0
35.34862,-98.57038,1,1,1.0
